Strawberry	Orange	Lemon	Apple	Grape	Uncounted
11	10	8	16	14	0
7	16	13	8	15	0
13	10	16	17	5	0
8	12	13	11	16	1
7	18	14	8	11	0
7	15	14	16	7	0
13	12	9	13	15	0
9	13	16	10	12	0
8	13	15	9	14	0
11	12	14	11	11	0
13	15	14	9	7	0
11	19	14	9	7	0
13	20	15	5	4	0
12	8	16	13	9	1
8	15	12	15	10	0
11	12	12	12	13	0
4	16	15	15	10	0
12	8	17	15	9	0
7	13	14	13	11	1
14	14	9	11	11	0
13	17	6	14	12	0
10	9	15	16	10	0
10	13	13	15	9	0
14	5	17	13	10	0
16	12	9	9	14	0
16	11	13	10	14	0
12	11	17	11	9	1
15	8	10	12	16	0
15	10	17	10	8	1
9	13	10	19	10	0
20	13	10	11	6	0
16	16	13	9	7	0
17	11	13	7	12	0
15	8	14	13	10	0
5	12	8	16	20	0
11	10	19	8	12	0
16	13	11	12	8	0
18	14	4	14	12	0
10	14	13	15	7	0
13	11	14	11	12	0
15	13	17	6	10	0
14	6	16	11	14	0
10	9	14	15	11	1
15	12	9	12	13	0
13	11	12	12	12	1
13	6	17	7	16	0
12	13	12	11	11	0
10	17	13	7	13	0
13	11	10	13	12	0
12	12	16	12	9	0
16	10	12	10	13	0
12	11	9	10	16	0
15	13	12	13	8	0
17	13	11	10	9	0
15	8	13	10	13	0
15	8	16	8	12	0
9	13	16	9	12	0
14	10	10	14	13	0
8	11	15	10	13	0
11	16	8	15	10	1
10	11	10	16	14	0
12	9	12	15	11	0
14	11	11	14	8	0
18	8	9	10	14	0
14	10	8	14	12	0
8	11	16	10	13	1
19	10	5	11	13	1
15	9	7	14	16	0
18	12	9	12	7	0
13	13	7	13	15	0
11	9	8	13	19	0
17	8	12	10	10	0
15	9	13	12	11	0
15	10	11	12	11	0
18	8	17	9	6	0
10	16	10	9	15	0
12	7	14	15	9	1
18	9	6	13	14	0
14	11	7	7	19	1
13	11	16	10	9	0
13	10	8	14	13	1
15	11	18	10	7	0
18	9	8	14	11	0
15	8	13	10	12	0
18	13	7	9	12	0
13	16	5	13	11	1
12	13	14	7	12	0
10	9	9	18	12	1
12	8	15	15	9	0
14	7	12	6	21	0
17	8	11	11	11	0
17	8	8	12	15	0
15	4	13	13	15	0
15	15	5	12	13	0
12	7	13	20	9	0
16	9	10	10	14	0
10	13	7	11	15	0
11	11	10	12	14	0
14	18	10	7	7	0
16	13	10	9	11	0
12	11	11	11	13	0
10	11	13	14	10	0
8	14	9	14	13	0
14	13	8	9	12	0
17	15	9	9	7	0
13	15	13	7	11	0
12	12	8	15	11	0
12	14	10	13	9	1
10	16	16	6	12	0
13	8	12	8	15	0
14	16	9	15	6	0
14	12	10	15	7	0
9	12	13	6	17	0
11	11	12	12	11	0
14	9	9	10	16	0
8	18	13	10	8	0
8	16	14	13	6	0
16	10	10	10	12	0
19	11	11	5	13	1
15	7	14	6	17	0
11	15	7	13	12	0
10	15	13	11	11	0
16	14	7	10	10	0
16	12	12	3	17	0
14	14	11	9	11	1
13	17	20	6	5	0
9	17	10	10	13	0
8	14	9	9	17	1
6	20	14	9	9	0
11	14	15	9	10	0
12	14	13	10	11	0
17	7	14	11	9	0
15	14	8	7	13	0
15	14	15	7	7	0
15	9	10	9	14	0
12	15	10	8	14	0
11	5	10	13	17	0
15	13	10	12	8	0
15	11	17	8	5	0
18	11	10	9	9	1
11	17	11	9	10	0
15	11	12	10	11	0
8	14	12	10	13	0
12	11	10	17	10	1
13	13	13	9	11	0
14	11	6	14	11	0
12	20	7	9	11	0
8	13	15	10	12	0
14	11	7	11	14	0
19	9	12	7	13	0
12	15	14	7	11	0
17	14	12	9	5	0
13	14	12	11	8	0
9	12	12	8	15	1
9	12	9	7	22	0
13	16	11	8	10	0
13	14	8	7	15	1
8	17	15	10	10	0
10	18	10	12	10	0
14	10	11	12	11	0
9	14	11	10	14	0
12	11	17	8	12	0
10	15	8	7	18	1
12	13	17	9	9	0
15	5	12	16	12	0
14	10	18	8	11	0
12	11	9	9	19	0
14	17	10	11	7	0
9	8	12	11	18	0
12	8	13	10	15	0
10	11	11	13	11	1
12	12	8	12	12	0
13	9	15	13	10	0
15	12	9	9	13	0
17	15	11	6	14	1
13	10	13	12	6	1
12	14	12	9	12	0
13	7	15	15	11	0
8	7	13	14	17	0
11	16	7	15	11	0
11	9	13	9	16	0
8	17	11	13	9	0
15	9	15	8	14	0
10	9	14	10	15	1
11	10	18	10	10	0
7	14	12	16	10	0
8	16	13	9	13	0
7	8	15	13	14	0
9	17	10	10	14	0
14	5	14	11	15	0
13	13	9	11	13	0
16	11	17	9	6	0
7	11	12	14	16	0
14	5	15	12	12	0
18	10	17	8	6	0
12	12	14	10	10	1
14	9	7	14	16	0
15	10	7	14	15	0
12	15	11	10	11	0
13	7	16	12	10	0
12	12	10	12	14	0
14	5	13	8	19	1
12	10	10	14	12	0
8	12	11	16	15	0
14	8	17	11	9	0
14	10	8	15	11	0
10	6	7	13	9	1
14	10	18	19	12	1
13	11	13	11	8	1
14	14	15	11	3	0
9	13	8	16	13	0
13	14	14	12	8	0
8	17	6	15	13	0
11	10	17	14	7	1
13	8	12	11	15	0
12	15	5	16	11	0
17	15	9	8	11	0
12	14	11	12	11	0
11	9	13	17	9	0
9	12	13	13	10	1
9	14	10	15	11	0
16	10	10	11	11	0
13	9	12	14	13	0
13	9	12	12	14	0
9	10	12	22	6	0
18	9	12	11	9	0
13	10	7	17	15	0
13	8	15	14	13	0
10	10	11	17	13	1
16	7	11	14	12	0
13	14	15	10	7	0
8	9	10	20	12	0
18	4	14	14	9	0
12	19	9	9	12	0
12	8	8	15	15	0
17	6	10	18	8	0
7	11	17	17	10	0
7	12	16	17	8	0
12	9	17	14	9	0
12	9	9	16	14	0
13	6	13	14	14	0
17	8	11	12	13	0
8	11	12	14	12	0
7	9	16	11	14	0
6	12	16	15	12	0
8	11	10	16	14	0
10	13	16	11	8	0
13	18	11	8	8	0
9	12	11	11	15	0
11	11	12	13	11	0
10	9	10	16	13	1
8	13	21	8	8	0
10	9	15	11	14	0
8	16	14	13	7	0
14	11	13	8	12	0
8	10	22	8	12	1
5	17	14	11	12	0
13	15	11	12	7	0
11	7	10	16	15	0
12	9	12	14	12	1
8	11	16	9	15	0
10	15	13	5	14	0
12	12	12	13	10	0
15	14	10	11	9	0
12	13	11	9	13	1
8	11	11	17	12	0
11	11	14	11	10	0
8	11	16	13	13	0
15	8	14	13	9	0
12	8	10	13	17	0
15	7	12	10	16	0
8	4	14	15	19	0
15	12	12	9	12	0
10	13	13	11	12	0
14	12	13	5	17	0
7	13	10	13	14	0
8	11	12	12	16	1
13	8	15	11	13	0
7	12	12	11	19	0
18	11	14	9	8	0
17	7	14	12	10	0
9	16	12	11	11	0
10	11	16	14	8	0
11	15	13	12	10	0
13	13	8	11	17	0
3	12	19	16	10	0
6	6	17	18	13	0
9	16	11	10	14	0
9	8	17	14	13	0
13	14	11	8	13	0
12	10	11	16	9	0
13	17	10	11	8	1
13	13	11	10	12	0
8	6	22	13	10	0
14	10	14	8	14	1
14	13	10	8	14	0
10	11	20	10	9	0
10	10	19	12	8	0
11	15	11	12	10	1
8	13	14	14	13	0
9	11	17	6	15	0
12	12	11	8	15	0
10	11	13	12	12	0
10	10	15	12	11	1
7	9	12	13	19	0
12	9	13	11	14	0
10	18	10	10	11	0
8	10	15	13	13	0
6	13	19	9	14	0
7	12	11	7	21	0
6	15	12	9	15	0
13	12	10	11	14	0
16	13	11	6	11	0
14	12	12	16	6	0
7	15	15	13	9	0
8	16	11	9	15	0
9	10	15	11	15	0
10	18	9	9	15	0
10	10	12	14	13	0
9	9	11	18	11	0
13	7	10	13	15	0
10	15	11	10	13	0
11	12	15	11	10	0
14	20	8	8	11	0
12	15	15	7	11	0
10	6	11	13	18	0
8	10	12	12	18	0
11	16	13	14	5	0
13	9	14	8	15	0
13	11	11	9	16	0
12	13	20	5	10	0
14	16	12	8	5	0
11	12	11	11	12	0
19	13	11	7	11	0
16	10	8	8	16	0
8	11	10	10	16	1
10	11	10	9	21	0
16	8	13	8	16	0
8	13	6	7	24	0
6	17	17	7	10	0
9	18	10	11	10	0
5	17	15	10	9	1
12	13	12	9	13	0
17	17	9	10	8	0
8	10	12	16	11	0
14	11	9	12	13	0
11	13	16	8	10	0
11	13	10	10	15	0
16	14	10	14	5	1
10	19	13	2	15	0
11	13	10	12	12	0
9	14	9	15	12	0
11	8	15	14	12	0
12	9	12	14	13	0
6	10	16	9	17	0
10	14	8	10	17	0
10	15	9	12	12	0
7	18	14	9	11	0
19	9	10	9	12	0
12	10	10	13	13	0
10	12	13	15	8	0
15	10	12	10	12	0
7	15	11	9	16	0
10	17	10	9	12	0
13	6	13	17	8	0
10	16	15	9	10	1
13	13	7	12	14	0
11	10	13	7	17	0
13	10	2	17	15	0
14	17	13	8	8	0
10	19	9	9	10	0
13	13	9	9	14	0
9	10	14	13	10	0
17	10	10	10	11	0
9	8	17	12	13	0
14	12	15	8	11	0
15	11	10	10	14	0
11	14	5	15	13	0
10	14	14	8	12	0
11	11	12	13	11	0
17	10	8	11	12	0
9	14	12	10	15	0
12	14	11	10	10	0
11	8	12	13	15	0
